"Category","Key","Url","File"
"HeroBackgrounds","heroes_backgrounds_warden_bg_png","https://assets-bucket.deadlock-api.com/assets-api-res/images/heroes/backgrounds/warden_bg.png","C:\APP\programs\shixi\deadlock-banpick\assets\UiDownloads\HeroBackgrounds\heroes_backgrounds_warden_bg_png.png"
"HeroBackgrounds","heroes_backgrounds_drifter_bg_png","https://assets-bucket.deadlock-api.com/assets-api-res/images/heroes/backgrounds/drifter_bg.png","C:\APP\programs\shixi\deadlock-banpick\assets\UiDownloads\HeroBackgrounds\heroes_backgrounds_drifter_bg_png.png"
"HeroBackgrounds","heroes_backgrounds_drifter_bg_webp","https://assets-bucket.deadlock-api.com/assets-api-res/images/heroes/backgrounds/drifter_bg.webp","C:\APP\programs\shixi\deadlock-banpick\assets\UiDownloads\HeroBackgrounds\heroes_backgrounds_drifter_bg_webp.webp"
"HeroBackgrounds","heroes_backgrounds_paradox_bg_webp","https://assets-bucket.deadlock-api.com/assets-api-res/images/heroes/backgrounds/paradox_bg.webp","C:\APP\programs\shixi\deadlock-banpick\assets\UiDownloads\HeroBackgrounds\heroes_backgrounds_paradox_bg_webp.webp"
"HeroBackgrounds","heroes_backgrounds_warden_bg_webp","https://assets-bucket.deadlock-api.com/assets-api-res/images/heroes/backgrounds/warden_bg.webp","C:\APP\programs\shixi\deadlock-banpick\assets\UiDownloads\HeroBackgrounds\heroes_backgrounds_warden_bg_webp.webp"
"HeroBackgrounds","heroes_backgrounds_patience_bg_png","https://assets-bucket.deadlock-api.com/assets-api-res/images/heroes/backgrounds/patience_bg.png","C:\APP\programs\shixi\deadlock-banpick\assets\UiDownloads\HeroBackgrounds\heroes_backgrounds_patience_bg_png.png"
"HeroBackgrounds","heroes_backgrounds_familiar_bg_webp","https://assets-bucket.deadlock-api.com/assets-api-res/images/heroes/backgrounds/familiar_bg.webp","C:\APP\programs\shixi\deadlock-banpick\assets\UiDownloads\HeroBackgrounds\heroes_backgrounds_familiar_bg_webp.webp"
"HeroBackgrounds","heroes_backgrounds_pocket_bg_webp","https://assets-bucket.deadlock-api.com/assets-api-res/images/heroes/backgrounds/pocket_bg.webp","C:\APP\programs\shixi\deadlock-banpick\assets\UiDownloads\HeroBackgrounds\heroes_backgrounds_pocket_bg_webp.webp"
"HeroBackgrounds","heroes_backgrounds_haze_bg_webp","https://assets-bucket.deadlock-api.com/assets-api-res/images/heroes/backgrounds/haze_bg.webp","C:\APP\programs\shixi\deadlock-banpick\assets\UiDownloads\HeroBackgrounds\heroes_backgrounds_haze_bg_webp.webp"
"HeroBackgrounds","heroes_backgrounds_lash_bg_png","https://assets-bucket.deadlock-api.com/assets-api-res/images/heroes/backgrounds/lash_bg.png","C:\APP\programs\shixi\deadlock-banpick\assets\UiDownloads\HeroBackgrounds\heroes_backgrounds_lash_bg_png.png"
